sample_id,sample_date,chemical,chem_conc
Q1,1989-12-12,nh4_n,NA
Q1,1989-12-12,no3_n,164
Q1,1989-12-19,k,0.8
Q1,1989-12-19,mg,3.24
Q1,1989-12-19,ca,6.04
Q1,1989-12-19,nh4_n,NA
Q1,1989-12-19,no3_n,148
Q1,1989-12-26,k,0.96
Q1,1989-12-26,mg,3.06
Q1,1989-12-26,ca,6.78
Q1,1989-12-26,nh4_n,NA
Q1,1989-12-26,no3_n,27
Q1,1990-01-02,k,2.98
Q1,1990-01-02,mg,3.19
Q1,1990-01-02,ca,5.15
Q1,1990-01-02,nh4_n,NA
Q1,1990-01-02,no3_n,NA
Q1,1990-01-09,k,0.95
Q1,1990-01-09,mg,3.28
Q1,1990-01-09,ca,5.9
Q1,1990-01-09,nh4_n,NA
Q1,1990-01-09,no3_n,38
Q1,1990-01-16,k,1
Q1,1990-01-16,mg,3.37
Q1,1990-01-16,ca,6.13
Q1,1990-01-16,nh4_n,NA
Q1,1990-01-16,no3_n,73
Q1,1990-01-23,k,1.05
Q1,1990-01-23,mg,3.23
Q1,1990-01-23,ca,5.59
Q1,1990-01-23,nh4_n,NA
Q1,1990-01-23,no3_n,10
Q1,1990-01-30,k,1.02
Q1,1990-01-30,mg,3.27
Q1,1990-01-30,ca,6.01
Q1,1990-01-30,nh4_n,NA
Q1,1990-01-30,no3_n,17
Q1,1990-02-06,k,0.97
Q1,1990-02-06,mg,3.22
Q1,1990-02-06,ca,6.02
Q1,1990-02-06,nh4_n,NA
Q1,1990-02-06,no3_n,156
Q1,1990-02-13,k,1.08
Q1,1990-02-13,mg,3.49
Q1,1990-02-13,ca,6.01
Q1,1990-02-13,nh4_n,NA
Q1,1990-02-13,no3_n,212
Q1,1990-02-20,k,1.21
Q1,1990-02-20,mg,3.4
Q1,1990-02-20,ca,5.85
Q1,1990-02-20,nh4_n,NA
Q1,1990-02-20,no3_n,267
Q1,1990-02-27,k,1.16
Q1,1990-02-27,mg,3.46
Q1,1990-02-27,ca,5.97
Q1,1990-02-27,nh4_n,NA
Q1,1990-02-27,no3_n,171
Q1,1990-03-06,k,0.94
Q1,1990-03-06,mg,3.48
Q1,1990-03-06,ca,6.09
Q1,1990-03-06,nh4_n,NA
Q1,1990-03-06,no3_n,119
Q1,1990-03-13,k,2.25
Q1,1990-03-13,mg,1.82
Q1,1990-03-13,ca,3.05
Q1,1990-03-13,nh4_n,NA
Q1,1990-03-13,no3_n,NA
Q1,1990-03-20,k,1.29
Q1,1990-03-20,mg,3.25
Q1,1990-03-20,ca,5.58
Q1,1990-03-20,nh4_n,NA
Q1,1990-03-20,no3_n,490
Q1,1990-03-27,k,1.19
Q1,1990-03-27,mg,3.11
Q1,1990-03-27,ca,5.34
Q1,1990-03-27,nh4_n,NA
Q1,1990-03-27,no3_n,259
Q1,1990-04-03,k,1.03
Q1,1990-04-03,mg,3.26
Q1,1990-04-03,ca,5.54
Q1,1990-04-03,nh4_n,NA
Q1,1990-04-03,no3_n,NA
Q1,1990-04-10,k,0.95
Q1,1990-04-10,mg,3.39
Q1,1990-04-10,ca,5.85
Q1,1990-04-10,nh4_n,NA
Q1,1990-04-10,no3_n,8
Q1,1990-04-17,k,0.94
Q1,1990-04-17,mg,3.29
Q1,1990-04-17,ca,5.81
Q1,1990-04-17,nh4_n,NA
Q1,1990-04-17,no3_n,42
Q1,1990-04-24,k,0.97
Q1,1990-04-24,mg,3.35
Q1,1990-04-24,ca,5.96
Q1,1990-04-24,nh4_n,NA
